years_maddison,gdppc_maddison2016,years_broadberry,gdppc_broadberry,years_TED,gdppc_TED,years_q1,gdppc_q1,years_q2,gdppc_q2
1967,7872.31,,,,,178.00,911.4864435,1486,1954.716666
1968,8382.41,,,,,179.00,912.1163104,1487,1946.54496
1969,8879.37,,,,,180.00,912.7461773,1488,1957.65011
1970,9366.60,,,,,181.00,913.3760442,1489,1985.622506
1971,9489.25,,,,,182.00,914.0059111,1490,1953.354733
1972,9795.13,,,,,183.00,914.635778,1491,1978.917523
1973,10413.55,,,,,184.00,915.2656449,1492,2014.11874
1974,10913.88,,,,,185.00,915.8955118,1493,1993.899001
1975,10618.98,,,,,186.00,916.5253788,1494,1935.125554
1976,11307.66,,,,,187.00,917.1552457,1495,1936.592276
1977,11541.92,,,,,188.00,917.7851126,1496,1863.361187
1978,11869.49,,,,,189.00,918.4149795,1497,1884.104764
1979,12532.29,,,,,190.00,919.0448464,1498,1933.763622
1980,12927.02,,,,,191.00,919.6747133,1499,1947.278378
1981,13018.32,,,,,192.00,920.3045802,1500,1939.106672
1982,13064.01,,,,,193.00,920.9344471,1501,1906.838899
1983,13208.60,,,,,194.00,921.5643141,1502,1896.257588
1984,13634.09,,,,,195.00,922.194181,1503,1904.95313
1985,14009.77,,,,,196.00,922.8240479,1504,1860.637323
1986,14408.11,,,,,197.00,923.4539148,1505,1924.753822
1987,14867.92,,,,,198.00,924.0837817,1506,2005.737568
1988,15484.70,,,,,199.00,924.7136486,1507,1999.975469
1989,15996.88,,,,,200.00,925.3435155,1508,2037.586293
1990,16313.13,,,,,201.00,925.9733824,1509,2043.872229
1991,16562.95,,,,,202.00,926.6032493,1510,2069.435019
1992,16634.01,,,,,203.00,927.2331163,1511,2008.251964
1993,16440.84,,,,,204.00,927.8629832,1512,2026.585934
1994,16761.74,,,,,205.00,928.4928501,1513,2054.558331
1995,17216.60,,,,,206.00,929.122717,1514,2029.519378
1996,17378.12,,,,,207.00,929.7525839,1515,2006.890032
1997,17675.65,,,,,208.00,930.3824508,1516,2022.814395
1998,17908.54,,,,,209.00,931.0123177,1517,2082.11168
1999,18140.52,,,,,210.00,931.6421846,1518,2090.807222
2000,18761.37,,,,,211.00,932.2720516,1519,2063.358663
2001,19062.44,,,,,212.00,932.9019185,1520,2026.271676
2002,19100.47,,,,,213.00,933.5317854,1521,1957.859802
2003,19006.71,,,,,214.00,934.1616523,1522,1949.688096
2004,19210.52,,,,,215.00,934.7915192,1523,1965.612459
2005,19283.73,,,,,216.00,935.4213861,1524,2070.692273
2006,19629.61,,,,,217.00,936.051253,1525,2067.339782
2007,19841.54,,,,,218.00,936.6811199,1526,1979.651052
2008,19460.50,,,,,219.00,937.3109869,1527,1911.239178
2009,18278.63,,,,,220.00,937.9408538,1528,1903.067473
2010,18520.43,,,,,221.00,938.5707207,1529,1950.316724
,,,,,,222.00,939.2005876,1530,1908.410523
,,,,,,223.00,939.8304545,1531,1933.973313
,,,,,,224.00,940.4603214,1532,1933.030429
,,,,,,225.00,941.0901883,1533,1924.858724
,,,,,,226.00,941.7200552,1534,2039.576965
,,,,,,227.00,942.3499222,1535,2072.368575
,,,,,,228.00,942.9797891,1536,2047.329622
,,,,,,229.00,943.609656,1537,2065.663592
,,,,,,230.00,944.2395229,1538,1982.794076
,,,,,,231.00,944.8693898,1539,1914.382202
,,,,,,232.00,945.4992567,1540,1949.583419
,,,,,,233.00,946.1291236,1541,2040.205592
,,,,,,234.00,946.7589905,1542,2051.310741
,,,,,,235.00,947.3888574,1543,2011.814148
,,,,,,236.00,948.0187244,1544,2020.50969
,,,,,,237.00,948.6485913,1545,2005.109165
,,,,,,238.00,949.2784582,1546,2059.587236
,,,,,,239.00,949.9083251,1547,1962.26008
,,,,,,240.00,950.538192,1548,1966.136409
,,,,,,241.00,951.1680589,1549,2008.566446
,,,,,,242.00,951.7979258,1550,1957.021819
,,,,,,243.00,952.4277927,1551,1987.403822
,,,,,,244.00,953.0576597,1552,2053.929928
,,,,,,245.00,953.6875266,1553,2019.252548
,,,,,,246.00,954.3173935,1554,1929.154212
,,,,,,247.00,954.9472604,1555,1916.163293
,,,,,,248.00,955.5771273,1556,1951.36451
,,,,,,249.00,956.2069942,1557,1928.735165
,,,,,,250.00,956.8368611,1558,1947.069134
,,,,,,251.00,957.466728,1559,1934.078215
,,,,,,252.00,958.096595,1560,1969.279432
,,,,,,253.00,958.7264619,1561,1975.565368
,,,,,,254.00,959.3563288,1562,1924.020741
,,,,,,255.00,959.9861957,1563,2009.8237
,,,,,,256.00,960.6160626,1564,1970.327107
,,,,,,257.00,961.2459295,1565,1981.432256
,,,,,,258.00,961.8757964,1566,1994.947012
,,,,,,259.00,962.5056633,1567,2047.015477
,,,,,,260.00,963.1355303,1568,2002.69967
,,,,,,261.00,963.7653972,1569,1951.155043
,,,,,,262.00,964.3952641,1570,2000.8139
,,,,,,263.00,965.025131,1571,1983.003768
,,,,,,264.00,965.6549979,1572,1994.108917
,,,,,,265.00,966.2848648,1573,2024.490921
,,,,,,266.00,966.9147317,1574,2021.138429
,,,,,,267.00,967.5445986,1575,1998.509084
,,,,,,268.00,968.1744656,1576,2026.48148
,,,,,,269.00,968.8043325,1577,2015.900168
,,,,,,270.00,969.4341994,1578,2002.90925
,,,,,,271.00,970.0640663,1579,1973.051084
,,,,,,272.00,970.6939332,1580,1979.337019
,,,,,,273.00,971.3238001,1581,2000.080595
,,,,,,274.00,971.953667,1582,2003.956924
,,,,,,275.00,972.5835339,1583,2019.881287
,,,,,,276.00,973.2134008,1584,2006.890368
,,,,,,277.00,973.8432678,1585,1993.89945
,,,,,,278.00,974.4731347,1586,2000.185385
,,,,,,279.00,975.1030016,1587,2013.700141
,,,,,,280.00,975.7328685,1588,2017.57647
,,,,,,281.00,976.3627354,1589,1999.766338
,,,,,,282.00,976.9926023,1590,1974.727385
,,,,,,283.00,977.6224692,1591,1954.507646
,,,,,,284.00,978.2523361,1592,1963.203189
,,,,,,285.00,978.8822031,1593,2000.814013
,,,,,,286.00,979.51207,1594,1983.00388
,,,,,,287.00,980.1419369,1595,1982.060996
,,,,,,288.00,980.7718038,1596,1944.974009
,,,,,,289.00,981.4016707,1597,1963.307979
,,,,,,290.00,982.0315376,1598,1986.461162
,,,,,,291.00,982.6614045,1599,2019.252772
,,,,,,292.00,983.2912714,1600,1991.804213
,,,,,,293.00,983.9211384,1601,1961.946046
,,,,,,294.00,984.5510053,1602,1968.231982
,,,,,,295.00,985.1808722,1603,2003.433199
,,,,,,296.00,985.8107391,1604,1980.803853
,,,,,,297.00,986.440606,1605,1989.499396
